bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
5861462.7024314515,SG3,363.505384094,1584000.000,1584000.000,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
11116157.786514385,SG3,191.67353432,1863252.0793650793,1863252.0793650793,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
10308848.047388768,SG3,206.683932211,2193000.000,2193000.000,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
16118717.515208745,SG3,132.186276544,1998533.7611940298,1998533.7611940298,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
17258870.10139805,SG3,123.453808881,5534576.400,5534576.400,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
20053772.744787384,SG3,106.24800022,2251236.7608695654,2251236.7608695654,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
23192871.174012974,SG3,91.867593064,6338333.333,6338333.333,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
37022376.02901336,SG2,57.550959164,1291898.5379223418,1291681.2280701755,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
50923108.12978825,SG2,41.840989862,1776965.608252129,1775782.608695652,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
77242114.41346881,SG2,27.584346534,2695369.2706969674,2702651.8518518517,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
194520005.9312594,SG2,10.9534916,6787789.931751078,6718905.660377358,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
93360627.93256399,SG2,22.82196787,3257825.9869401874,3372358.4,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
340640342.5077582,SG2,6.254905791,11886669.837134883,11782620.689655172,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
85840718.07672966,SG2,24.821242165,2995418.1787420628,2865244.8032786883,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
524344291.02513677,SG2,4.063500428,18297032.648915965,18385333.333333332,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
91815317.01254399,SG2,23.206076288,3203902.2485867995,3935939.4782608696,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
654845647.2735606,SG2,3.253703006,22850887.085543666,21616285.714285713,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1371911584.7810326,YSB1k,2.7066856,7389110.874199796,7352090.909090909,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
2435436683.4475427,YSB1k,1.524709452,13117253.240455415,12774800.0,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
2120444078.7334461,YSB1k,1.751205499,11420704.20143193,10351285.714285715,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
9554894193.626055,YSB1k,0.388631549,51462625.8507901,-1,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1816618817.7178757,YSB1k,2.044090535,9784302.435508318,8895125.0,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
18214504689.164,YSB1k,0.20386683,98103256.91531084,-1,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1703541064.3817492,YSB1k,2.179773302,9175266.06168149,8474555.555555556,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
26315247449.58303,YSB1k,0.141109573,141733828.3632961,-1,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1649751119.4863458,YSB1k,2.250844559,8885553.611434435,8180600.0,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
29374242807.03766,YSB1k,0.126414606,158209566.3850742,-1,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1323137642.875709,YSB10k,2.806460349,7126414.598063505,6812333.333333333,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
2341567694.2859306,YSB10k,1.58583215,12611675.20156531,11300000.0,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
2045785534.7892838,YSB10k,1.81511369,11018593.551569764,10706285.714285715,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
9117900309.780663,YSB10k,0.407257505,49108978.360018186,-1,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1821576887.6211717,YSB10k,2.038526815,9811006.582221486,9191500.0,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
16482523723.604162,YSB10k,0.225289124,88774813.64790605,-1,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1702608298.0831017,YSB10k,2.180967481,9170242.185743071,8615888.888888888,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
24733581731.318264,YSB10k,0.150133263,133214982.47859971,-1,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1692230630.9501584,YSB10k,2.194342345,9114348.107792635,9039625.0,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
27999741902.199413,YSB10k,0.13262027,150806509.44233486,-1,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
7689939477.459461,NM1,0.868474283,211856268.6328848,186714500.0,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
7712444631.039862,NM1,0.865940048,212476281.03695235,173355500.0,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
25044114628.181404,NM1,0.266670025,689960264.5629182,-1,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
25103204819.90397,NM1,0.266042313,691588187.3271791,-1,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
28040383530.13642,NM1,0.238174869,772506863.4340259,-1,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
27998899993.825455,NM1,0.238527752,771364000.445533,-1,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
27232297375.821915,NM1,0.245242426,750244254.2303019,-1,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
27222395998.793896,NM1,0.245331626,749971473.3069108,-1,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
26987638650.12852,NM1,0.247465692,743503956.0958616,-1,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
27146420716.015118,NM1,0.246018241,747878369.7181219,-1,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
15846979279.934444,NM2,0.421437711,436581056.2216156,-1,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
18085584676.543068,NM2,0.36927281,498254179.61316997,-1,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
58778879656.508545,NM2,0.113620993,1619346180.1552815,-1,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
56911462201.50692,NM2,0.117349202,1567899209.0632198,-1,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
73402257489.51971,NM2,0.09098514,2022217265.3688283,-1,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
74409830552.63715,NM2,0.089753123,2049975698.3386526,-1,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
75067354202.76505,NM2,0.088966965,2068090341.173266,-1,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
74979213328.82625,NM2,0.089071549,2065662078.0222425,-1,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
75521385894.05188,NM2,0.088432099,2080598821.9277709,-1,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
75609533077.14793,NM2,0.088329003,2083027258.8947935,-1,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
136142517.13724506,NM5,98.110638975,3750698.6586211864,3747668.0327868853,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
1823247095.256087,NM5,7.325956741,50230086.664389715,50384588.23529412,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
206094144.42142892,NM5,64.810329209,5677851.763618249,5691854.0372670805,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
5968042024.181419,NM5,2.238092375,164418343.99261558,150369900.0,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
221618547.08506116,NM5,60.270358793,6105545.899666003,6115313.333333333,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
9599243039.436321,NM5,1.391466941,264457193.4533657,259860400.0,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
187637408.44715592,NM5,71.185322045,5169372.441236948,5244986.128279883,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
10269187612.372858,NM5,1.300689972,282914030.1852039,252793200.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
